nodo_id,tipo,padre_id,desde,hasta
SUB-NORTE,SUBESTACION,,1735689600,4102444800
CIR-01,CIRCUITO,SUB-NORTE,1735689600,4102444800
TR-0000,TRAFO,CIR-01,1735689600,4102444800
TR-0001,TRAFO,CIR-01,1735689600,4102444800
TR-0002,TRAFO,CIR-01,1735689600,4102444800
TR-0003,TRAFO,CIR-01,1735689600,4102444800
TR-0004,TRAFO,CIR-01,1735689600,4102444800
00FB86738B42,MEDIDOR,TR-0000,1735689600,4102444800
C835484F3E32,MEDIDOR,TR-0001,1735689600,4102444800
248C1E89AF9E,MEDIDOR,TR-0002,1735689600,4102444800
D025601C567F,MEDIDOR,TR-0003,1735689600,4102444800
BB5522E53A50,MEDIDOR,TR-0004,1735689600,4102444800
AE8DAE18AEFD,MEDIDOR,TR-0000,1735689600,4102444800
9FF8D085B8CF,MEDIDOR,TR-0001,1735689600,4102444800
8D6AB84300FD,MEDIDOR,TR-0002,1735689600,4102444800
A099BF4FAC9D,MEDIDOR,TR-0003,1735689600,4102444800
2F89263DDBAF,MEDIDOR,TR-0004,1735689600,4102444800
9BF739CD3878,MEDIDOR,TR-0000,1735689600,4102444800
247720201EF0,MEDIDOR,TR-0001,1735689600,4102444800
267B55CBC8C6,MEDIDOR,TR-0002,1735689600,4102444800
948C14DDC65E,MEDIDOR,TR-0003,1735689600,4102444800
457D6F86584E,MEDIDOR,TR-0004,1735689600,4102444800
9FD76BE8A2B6,MEDIDOR,TR-0000,1735689600,4102444800
9D641ABF541B,MEDIDOR,TR-0001,1735689600,4102444800
ECDF3F486BC9,MEDIDOR,TR-0002,1735689600,4102444800
B994D72B788E,MEDIDOR,TR-0003,1735689600,4102444800
F21486ED8E47,MEDIDOR,TR-0004,1735689600,4102444800
EAC5EFD02C11,MEDIDOR,TR-0000,1735689600,4102444800
E494CB07F116,MEDIDOR,TR-0001,1735689600,4102444800
CB4717682C4B,MEDIDOR,TR-0002,1735689600,4102444800
